id,user_id,applicant_id,rating,add_timestamp
288,22,12,45,9/7/23 6:37
289,47,5,93,9/7/23 6:38
290,28,12,91,9/7/23 6:38
291,26,3,75,9/7/23 6:38
292,25,6,46,9/7/23 6:38
293,49,9,76,9/7/23 6:38
294,50,11,100,9/7/23 6:38
295,24,2,40,9/7/23 6:38
296,46,3,91,9/7/23 6:38
297,48,6,72,9/7/23 6:38
298,45,8,70,9/7/23 6:38
299,28,4,59,9/7/23 6:39
300,22,11,100,9/7/23 6:39
302,15,12,56,9/7/23 6:39
303,29,12,50,9/7/23 6:40
304,37,5,100,9/7/23 6:40
306,38,7,90,9/7/23 6:40
307,50,7,90,9/7/23 6:40
308,8,8,45,9/7/23 6:40
309,34,5,100,9/7/23 6:40
310,17,10,75,9/7/23 6:40
311,24,9,88,9/7/23 6:40
312,52,3,84,9/7/23 6:40
313,30,2,40,9/7/23 6:40
314,15,1,98,9/7/23 6:41
315,25,10,67,9/7/23 6:41
316,44,8,60,9/7/23 6:41
317,12,11,83,9/7/23 6:41
318,51,1,84,9/7/23 6:41
319,47,3,94,9/7/23 6:41
320,16,1,95,9/7/23 6:41
321,29,6,78,9/7/23 6:41
322,50,2,55,9/7/23 6:41
323,33,3,95,9/7/23 6:41
324,48,8,80,9/7/23 6:42
325,17,3,95,9/7/23 6:42
326,54,11,85,9/7/23 6:42
328,52,8,95,9/7/23 6:42
329,33,1,90,9/7/23 6:43
330,15,8,63,9/7/23 6:43
331,33,7,85,9/7/23 6:43
332,54,5,85,9/7/23 6:43
333,33,6,35,9/7/23 6:43
334,53,5,90,9/7/23 6:43
335,25,7,85,9/7/23 6:43
336,33,2,30,9/7/23 6:44
337,43,11,100,9/7/23 6:44
338,33,10,30,9/7/23 6:44
339,32,5,85,9/7/23 6:44
340,29,11,79,9/7/23 6:44
341,47,10,58,9/7/23 6:44
342,28,1,71,9/7/23 6:44
343,15,3,91,9/7/23 6:44
344,54,10,75,9/7/23 6:44
345,33,8,35,9/7/23 6:44
346,57,1,96,9/7/23 6:44
347,50,3,98,9/7/23 6:44
348,33,11,95,9/7/23 6:45
349,34,11,95,9/7/23 6:45
350,50,12,17,9/7/23 6:45
351,30,1,100,9/7/23 6:45
352,56,10,98,9/7/23 6:45
353,45,3,90,9/7/23 6:45
354,33,4,35,9/7/23 6:45
355,24,10,26,9/7/23 6:45
356,29,7,100,9/7/23 6:45
357,33,9,85,9/7/23 6:45
358,56,1,93,9/7/23 6:45
359,54,6,66,9/7/23 6:45
360,56,8,70,9/7/23 6:45
361,33,5,90,9/7/23 6:46
362,51,11,92,9/7/23 6:46
363,32,1,96,9/7/23 6:46
364,42,2,52,9/7/23 6:46
365,33,12,30,9/7/23 6:46
366,56,9,84,9/7/23 6:46
367,47,2,42,9/7/23 6:46
368,38,11,100,9/7/23 6:46
369,56,5,66,9/7/23 6:46
370,42,10,50,9/7/23 6:46
371,52,9,27,9/7/23 6:46
372,46,6,75,9/7/23 6:46
373,56,3,66,9/7/23 6:46
374,49,11,74,9/7/23 6:46
375,54,1,85,9/7/23 6:46
376,57,7,91,9/7/23 6:46
377,56,11,74,9/7/23 6:46
378,50,8,70,9/7/23 6:46
379,56,7,83,9/7/23 6:46
380,56,6,96,9/7/23 6:46
381,48,2,82,9/7/23 6:47
383,16,12,70,9/7/23 6:47
384,56,2,48,9/7/23 6:47
385,12,4,68,9/7/23 6:47
386,8,7,80,9/7/23 6:47
387,44,1,91,9/7/23 6:47
388,54,12,66,9/7/23 6:47
389,25,3,84,9/7/23 6:47
390,56,12,53,9/7/23 6:47
391,29,10,61,9/7/23 6:47
392,56,4,81,9/7/23 6:47
394,37,6,88,9/7/23 6:47
395,32,4,35,9/7/23 6:47
396,42,8,69,9/7/23 6:48
397,52,7,96,9/7/23 6:48
398,54,9,85,9/7/23 6:48
399,44,7,80,9/7/23 6:48
400,53,3,85,9/7/23 6:48
401,50,10,59,9/7/23 6:48
402,48,9,93,9/7/23 6:48
403,24,7,66,9/7/23 6:48
404,51,12,37,9/7/23 6:48
405,24,5,66,9/7/23 6:49
406,54,3,80,9/7/23 6:49
407,47,7,86,9/7/23 6:49
408,52,2,80,9/7/23 6:49
409,21,8,74,9/7/23 6:49
410,59,1,93,9/7/23 6:49
412,42,12,71,9/7/23 6:49
413,42,9,63,9/7/23 6:49
414,54,7,80,9/7/23 6:49
415,50,6,51,9/7/23 6:49
